1001,1001,৭০টি মিটার গেজ (এমজি) ডিজেল ইলেকট্রিক (ডিই) লোকোয়অমটিভ সংগ্রহ,৭০ মিট গেজ এমজি ডিজ ইলেকট্রিক ডি লোকোয়অমটিভ সংগ্রহ
1002,1002,পদ্মা বহুমুখী সেতু প্রকল্পের সার্বিক নিরাপত্তা বিধানকল্পে ৯৯ কম্পোজিট ব্রিগেড স্থাপন-১ম সংশোধিত,পদ্মা বহুমুখী সেতু প্রকল্প সার্বিক নিরাপত্তা বিধানকল্প ৯৯ কম্পোজিট ব্রিগেড স্থাপন - ১ম সংশোধিত
1003,1003,রাজশাহী বিভাগ বিদ্যুৎ বিতরণ লাইন ও উপকেন্দ্র সম্প্রসারণ এবং পুনর্বাসন প্রকল্প,রাজশাহী বিভাগ বিদ্যুৎ বিতরণ লাইন উপকেন্দ্র সম্প্রসারণ পুনর্বাসন প্রকল্প
1004,1004,রংপুর বিভাগ বিদ্যুৎ বিতরণ লাইন ও উপকেন্দ্র সম্প্রসারণ এবং পুনর্বাসন প্রকল্প,রংপুর বিভাগ বিদ্যুৎ বিতরণ লাইন উপকেন্দ্র সম্প্রসারণ পুনর্বাসন প্রকল্প
1005,1005, সৈয়দপুর ১৫০ মেঃওঃ ° 10% সিম্পল সাইকেল (এইচএসডি ভিত্তিক) বিদ্যুৎ কেন্দ্র নির্মাণ প্রকল্প,সৈয়দপুর ১৫০ মেঃও ° 10 % সিম্পল সাইক এইচএসডি ভিত্তিক বিদ্যুৎ কেন্দ্র নির্মাণ প্রকল্প
1006,1006,ময়মনসিংহ বিভাগ এবং ঢাকা বিভাগের টাঙ্গাইল ও কিশোরগঞ্জ জেলায় ক্ষুদ্রসেচ উন্নয়ন প্রকল্প,ময়মনসিংহ বিভাগ ঢাকা বিভাগ টাঙ্গাইল কিশোরগঞ্জ জেলা ক্ষুদ্রসেচ উন্নয়ন প্রকল্প
1007,1007,শেরপুর(আখেরবাজার)-লঙ্গরপাড়া-শ্রীবর্দী(মামদামারী) সড়ক প্রশস্থকরণ ও মজবুতীকরণ,শেরপুর আখেরবাজ - লঙ্গরপাড়া - শ্রীবর্দী মামদামারী সড়ক প্রশস্থকরণ মজবুতীকরণ
1008,1008,লালমনিরহাট টেক্সটাইল ইন্সটিটিউট,লালমনিরহাট টেক্সটাইল ইন্সটিটিউট
1009,1009,"বিএএফ ঘাঁটি জহুরুল হক, চট্টগ্রামে বিমানসেনা প্রশিক্ষণ ইন্সটিটিউট স্থাপন","বিএএফ ঘাঁ জহুরুল হক , চট্টগ্রাম বিমানসেনা প্রশিক্ষণ ইন্সটিটিউট স্থাপন"
